Image Name                     PSNR            MSE             MAE            
---------------------------------------------------------------------------
10.png                         27.8422         106.8710        119.7131       
100.png                        27.7520         109.1128        182.9174       
101.png                        28.0162         102.6741        189.1282       
102.png                        27.5922         113.2033        171.8876       
103.png                        27.7508         109.1438        150.6070       
104.png                        27.8845         105.8354        133.6738       
105.png                        27.8878         105.7540        136.1047       
106.png                        27.8681         106.2352        128.7702       
107.png                        27.9539         104.1586        147.8386       
109.png                        27.8382         106.9700        91.2213        
110.png                        27.9930         103.2241        109.4332       
112.png                        27.9759         103.6309        139.7052       
113.png                        27.9692         103.7909        117.6591       
114.png                        28.0502         101.8739        107.3414       
115.png                        27.8242         107.3151        73.3210        
116.png                        27.9600         104.0105        161.5165       
117.png                        27.8545         106.5691        113.4553       
118.png                        27.7554         109.0281        116.2455       
119.png                        27.8166         107.5029        141.0465       
12.png                         28.0309         102.3268        147.9105       
120.png                        27.7335         109.5798        105.8469       
121.png                        28.2404         97.5084         157.2442       
122.png                        27.9659         103.8705        145.2852       
123.png                        27.8974         105.5225        112.7582       
124.png                        27.8576         106.4935        96.8816        
125.png                        27.7007         110.4097        114.0000       
126.png                        27.7631         108.8342        108.9315       
127.png                        27.7126         110.1080        121.0257       
128.png                        27.6926         110.6173        121.4763       
129.png                        27.8517         106.6381        116.0595       
13.png                         27.8309         107.1506        96.9007        
130.png                        27.7913         108.1301        120.5103       
131.png                        28.3819         94.3818         56.4479        
132.png                        27.9980         103.1051        167.4362       
135.png                        28.5855         90.0588         105.8754       
136.png                        28.4384         93.1626         103.9249       
137.png                        27.6747         111.0729        128.3769       
138.png                        28.0132         102.7459        131.9057       
139.png                        27.8562         106.5271        131.8397       
14.png                         27.7616         108.8721        105.8201       
140.png                        27.7577         108.9702        104.7031       
141.png                        27.5250         114.9681        137.4697       
142.png                        27.6265         112.3132        116.0496       
143.png                        28.1232         100.1743        126.1886       
144.png                        28.0314         102.3149        117.4327       
145.png                        28.0563         101.7313        109.0096       
147.png                        28.6651         88.4234         81.0652        
149.png                        28.3457         95.1712         110.0663       
15.png                         27.8836         105.8566        100.4075       
150.png                        28.1504         99.5500         68.1990        
151.png                        28.2644         96.9705         99.8138        
152.png                        28.1174         100.3102        161.0687       
154.png                        27.5200         115.1009        180.3369       
157.png                        27.9782         103.5758        114.9073       
159.png                        27.7609         108.8897        183.9096       
16.png                         27.8637         106.3432        110.6752       
160.png                        27.5187         115.1345        170.2016       
162.png                        28.3935         94.1303         98.6943        
167.png                        27.8466         106.7625        126.1718       
169.png                        28.0176         102.6406        128.7427       
17.png                         28.3685         94.6744         60.4839        
171.png                        27.7483         109.2058        129.3424       
172.png                        28.0574         101.7054        156.4389       
173.png                        27.8810         105.9196        114.1707       
174.png                        27.7316         109.6284        109.7510       
175.png                        27.7891         108.1850        134.9929       
176.png                        27.9163         105.0629        135.4469       
18.png                         28.7276         87.1600         135.4371       
180.png                        28.4192         93.5741         141.6873       
183.png                        27.7924         108.1039        162.6523       
184.png                        27.7178         109.9773        129.6184       
185.png                        27.9956         103.1611        140.7466       
186.png                        28.2308         97.7234         147.3415       
187.png                        28.2765         96.7010         171.0160       
188.png                        28.0191         102.6053        132.8026       
189.png                        27.7323         109.6097        105.4613       
191.png                        27.9041         105.3599        123.4999       
193.png                        28.2569         97.1373         81.5016        
194.png                        27.9289         104.7594        56.9692        
195.png                        28.1191         100.2693        112.8968       
196.png                        27.8737         106.0976        137.5007       
198.png                        28.0609         101.6218        126.7068       
199.png                        28.4845         92.1781         171.5144       
2.png                          27.7780         108.4615        155.8599       
200.png                        27.8040         107.8154        98.9524        
201.png                        28.4597         92.7073         179.8459       
202.png                        27.8986         105.4911        200.3145       
203.png                        27.6044         112.8869        185.4483       
204.png                        28.0419         102.0687        81.8339        
206.png                        27.9234         104.8915        155.0864       
207.png                        27.9453         104.3644        135.6946       
209.png                        27.8908         105.6820        122.8047       
21.png                         28.1524         99.5037         92.2878        
210.png                        27.9907         103.2793        124.9674       
211.png                        27.8836         105.8583        120.2292       
212.png                        27.6769         111.0168        123.2250       
213.png                        27.9792         103.5526        86.8707        
215.png                        28.1450         99.6737         176.1339       
216.png                        28.2320         97.6967         88.3072        
219.png                        27.7981         107.9624        121.9405       
220.png                        27.8062         107.7615        121.7312       
221.png                        27.6219         112.4322        132.3266       
222.png                        27.7668         108.7416        152.7197       
225.png                        27.6594         111.4655        141.2834       
227.png                        27.8365         107.0109        114.3688       
228.png                        27.7738         108.5687        142.3389       
229.png                        27.6997         110.4349        116.8183       
230.png                        27.8415         106.8892        128.6664       
231.png                        27.8169         107.4965        129.0272       
232.png                        27.7517         109.1218        140.4732       
233.png                        27.7733         108.5806        142.3277       
235.png                        27.7616         108.8733        153.9516       
236.png                        27.7651         108.7863        110.9795       
237.png                        27.8482         106.7240        121.3526       
238.png                        27.9022         105.4042        122.7879       
239.png                        27.9853         103.4061        153.4007       
24.png                         27.9119         105.1687        92.7319        
240.png                        27.9831         103.4596        104.9031       
241.png                        27.8212         107.3880        119.2722       
242.png                        28.0169         102.6584        150.7190       
243.png                        27.6780         110.9895        113.2616       
244.png                        27.7298         109.6743        119.8184       
246.png                        27.9936         103.2095        135.4218       
247.png                        27.7319         109.6198        120.0653       
248.png                        27.6722         111.1372        126.0795       
249.png                        27.7013         110.3941        137.5610       
25.png                         28.2187         97.9956         85.8521        
250.png                        27.7865         108.2508        139.9734       
251.png                        27.8171         107.4899        125.1630       
